Date,Price,Open,High,Low,Vol.,Change %,Type
12/29/2021,138.35,138.5,140.0,138.5,0.01K,2.03%,Rotterdam Coal
12/28/2021,135.6,135.6,135.6,135.6,,-3.62%,Rotterdam Coal
12/27/2021,140.7,140.7,140.7,140.7,,-0.92%,Rotterdam Coal
12/24/2021,142.0,142.0,142.0,142.0,,-0.53%,Rotterdam Coal
12/23/2021,142.75,144.0,144.0,142.0,0.00K,-2.86%,Rotterdam Coal
12/22/2021,146.95,148.0,148.0,147.0,0.00K,-0.03%,Rotterdam Coal
12/21/2021,147.0,147.0,147.0,147.0,0.02K,0.68%,Rotterdam Coal
12/20/2021,146.0,149.5,149.5,149.0,0.07K,0.00%,Rotterdam Coal
12/17/2021,146.0,148.0,148.0,148.0,0.02K,-1.28%,Rotterdam Coal
12/16/2021,147.9,144.0,146.5,144.0,0.06K,4.38%,Rotterdam Coal
12/15/2021,141.7,140.5,141.5,140.5,0.04K,0.82%,Rotterdam Coal
12/14/2021,140.55,140.0,140.25,140.0,0.08K,2.97%,Rotterdam Coal
12/13/2021,136.5,136.5,137.5,136.5,0.03K,1.19%,Rotterdam Coal
12/10/2021,134.9,134.5,134.5,134.5,0.04K,0.00%,Rotterdam Coal
12/09/2021,134.9,134.9,134.9,134.9,0.07K,0.26%,Rotterdam Coal
12/08/2021,134.55,132.5,133.5,132.5,0.33K,4.22%,Rotterdam Coal
12/07/2021,129.1,129.1,129.1,129.1,0.12K,5.65%,Rotterdam Coal
12/06/2021,122.2,120.75,122.5,120.75,0.11K,0.58%,Rotterdam Coal
12/03/2021,121.5,124.5,124.5,121.0,0.03K,-2.21%,Rotterdam Coal
12/02/2021,124.25,120.0,125.0,120.0,0.09K,0.93%,Rotterdam Coal
12/01/2021,123.1,112.0,123.0,112.0,0.19K,10.80%,Rotterdam Coal
11/30/2021,111.1,118.0,118.0,110.0,0.14K,-12.52%,Rotterdam Coal
11/29/2021,127.0,131.5,131.5,123.0,0.11K,-14.19%,Rotterdam Coal
11/26/2021,148.0,148.0,148.0,148.0,0.01K,0.00%,Rotterdam Coal
